LOCATION_ID,SUBLOCATION_ID,STATION_ID,SAMPLE_DATE,SAMPLE_TIME,RBR_SERIAL_NUM,OPTODE_SERIAL_NUM,PROFILE,AVGDEPTH,DEPTH_BIN,TEMP,COND,COND_SPEC,OXYGEN,OXYGEN_SATURATION,CHLA,DATA_SET_ID,Collection_method,collection_authority,comments
239,LA,CB,2014-08-11,07:44,18033,138,1,-0.01,0,22.8,25.18,26.28,7.94,96.4, ,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:46,18033,138,1,0.53,0.5,22.93,25.14,26.17,7.85,95.5,0.74,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:47,18033,138,1,0.94,1,22.93,25.14,26.17,7.86,95.7,0.93,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:47,18033,138,1,2.02,2,22.93,25.13,26.16,7.85,95.5,1.08,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:48,18033,138,1,2.83,2.75,22.9,25.11,26.16,7.84,95.4,1.23,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:49,18033,138,1,3.26,3.25,22.87,25.06,26.12,7.99,97.1,1.25,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:49,18033,138,1,3.52,3.5,21.86,24.02,25.55,7.79,92.9,1.29,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:50,18033,138,1,3.66,3.75,20.2,23.86,26.27,7.8,90,1.58,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:50,18033,138,1,3.9,4,19.62,23.44,26.12,7.78,88.7,1.65,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:51,18033,138,1,4.19,4.25,18.76,23.11,26.24,7.8,87.4,1.7,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:51,18033,138,1,4.51,4.5,17.8,22.6,26.2,8,87.9,1.86,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:53,18033,138,1,4.74,4.75,15.81,21.5,26.08,8.49,89.5,2.18,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:54,18033,138,1,5.02,5,13.95,21.1,26.74,8.35,84.6,2.62,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:54,18033,138,1,5.24,5.25,12.44,20.44,26.89,8.28,81.1,2.83,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:55,18033,138,1,5.52,5.5,11.45,19.87,26.81,8.11,77.7,2.95,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:56,18033,138,1,5.75,5.75,10.2,19.26,26.85,7.81,72.7,3.14,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:56,18033,138,1,6,6,8.38,18.74,27.46,7.68,68.4,2.9,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:57,18033,138,1,6.25,6.25,7.76,18.37,27.39,7.48,65.6,2.74,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:57,18033,138,1,6.41,6.5,7.25,18.17,27.49,7.4,64.1,2.66,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:57,18033,138,1,6.77,6.75,6.84,17.87,27.36,7.25,62.2,2.47,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:58,18033,138,1,6.88,,6.68,17.83,27.42,7.2,61.5,2.36,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:58,18033,138,1,7.18,7.25,6.41,17.75,27.52,7.09,60.2,2.04,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:58,18033,138,1,7.39,,6.25,17.68,27.55,6.97,58.9,1.9,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:59,18033,138,1,7.69,7.75,6.17,17.61,27.5,6.91,58.3,1.82,GC5,RBR,1009,
239,LA,CB,2014-08-11,07:59,18033,138,1,7.97,8,5.95,17.58,27.64,6.78,56.9,1.6,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:00,18033,138,1,9.01,9,5.54,17.31,27.55,6.62,55,1.07,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:00,18033,138,1,10.01,10,5.27,17.09,27.42,6.89,56.8,0.84,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:01,18033,138,1,11.04,11,5.08,16.94,27.34,7.14,58.6,0.74,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:02,18033,138,1,11.97,12,4.92,16.87,27.37,7.26,59.3,0.73,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:02,18033,138,1,13,13,4.81,16.89,27.49,7.02,57.2,0.66,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:03,18033,138,1,14.01,14,4.76,16.87,27.5,6.84,55.7,0.63,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:03,18033,138,1,14.98,15,4.68,16.83,27.5,6.8,55.2,0.61,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:04,18033,138,1,15.97,16,4.62,16.82,27.54,6.77,54.9,0.63,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:04,18033,138,1,16.87,,4.55,16.74,27.47,6.85,55.4,0.62,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:05,18033,138,1,17.82,,4.49,16.71,27.47,7.01,56.6,0.6,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:05,18033,138,1,18.96,19,4.44,16.66,27.43,7.12,57.5,0.6,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:06,18033,138,1,20.01,20,4.41,16.64,27.42,7.16,57.7,0.62,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:07,18033,138,1,21.04,21,4.37,16.65,27.48,7.13,57.4,0.58,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:07,18033,138,1,21.92,22,4.34,16.68,27.55,7.01,56.4,0.59,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:08,18033,138,1,22.95,23,4.32,16.77,27.72,6.7,53.9,0.56,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:08,18033,138,1,24.04,24,4.29,16.88,27.93,5.94,47.7,0.56,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:09,18033,138,1,25.02,25,4.27,17,28.14,5.35,43,0.54,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:10,18033,138,1,25.98,26,4.25,17.12,28.36,4.57,36.7,0.53,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:11,18033,138,1,27.01,27,4.25,17.23,28.54,4.06,32.6,0.53,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:12,18033,138,1,28.01,28,4.25,17.33,28.71,3.52,28.3,0.51,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:13,18033,138,1,29.03,29,4.25,17.43,28.87,2.76,22.2,0.55,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:13,18033,138,1,29.95,30,4.24,17.51,29.02,2.32,18.6,0.54,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:14,18033,138,1,30.53,,4.24,18.04,29.9,1.78,14.3,0.53,GC5,RBR,1009,
239,LA,CB,2014-08-11,08:35,18033,138,2,5.01,5,13.41,20.9,26.84,8.41,84.2,2.7,GC5,RBR,1009,
