FISH_KEY,LOCATION,YEAR,DATE_CATCH,capture_recapture,DATE_CATCH_2,taxon,FISH_NUM,fish_catch_method,ORIG_NUM,WEIGHT,TOTAL_LENGTH,FORK_LENGTH,SEX,AGE,DEAD,COMMENTS
373LA_241_F081_F,373,1982,7/14/1982,F,,F081,241,2,1,700,428,388,1,4,Y,EXPERIMENTAL;+
373LA_245_F081_F,373,1982,7/14/1982,F,,F081,245,2,5,479,391,354,9,4,Y,EXPERIMENTAL;+
373LA_244_F081_F,373,1982,7/14/1982,F,,F081,244,2,4,1345,512,465,2,9,Y,EXPERIMENTAL;+
373LA_242_F081_F,373,1982,7/14/1982,F,,F081,242,2,2,471,388,350,2,3,Y,EXPERIMENTAL;+
373LA_243_F081_F,373,1982,7/14/1982,F,,F081,243,2,3,625,431,390,1,5,Y,EXPERIMENTAL;+
373LA_15_F081_F,373,1986,10/9/1986,F,,F081,15,2,15,1326,521,476,1,15,,
373LA_31_F081_F,373,1986,10/11/1986,F,,F081,31,2,9,1985,572,520,2,19,,
373LA_30_F081_F,373,1986,10/11/1986,F,,F081,30,2,8,1555,545,493,1,17,,
373LA_3_F081_F,373,1986,10/9/1986,F,,F081,3,2,3,1618,541,490,1,25,,
373LA_29_F081_F,373,1986,10/11/1986,F,,F081,29,3,7,1135,523,464,2,9,,
373LA_28_F081_F,373,1986,10/11/1986,F,,F081,28,2,6,1425,521,474,1,22,,
373LA_27_F081_F,373,1986,10/11/1986,F,,F081,27,2,5,701,417,375,1,5,,
373LA_26_F081_F,373,1986,10/11/1986,F,,F081,26,2,4,1875,556,504,2,13,,
373LA_25_F081_F,373,1986,10/11/1986,F,,F081,25,2,3,1645,541,491,1,14,,
373LA_17_F081_F,373,1986,10/9/1986,F,,F081,17,2,17,1742,547,504,1,14,,
373LA_19_F081_F,373,1986,10/9/1986,F,,F081,19,2,19,1423,527,477,1,22,,
373LA_18_F081_F,373,1986,10/9/1986,F,,F081,18,2,18,1524,528,482,1,13,,
373LA_34_F081_F,373,1986,10/11/1986,F,,F081,34,2,12,1853,555,503,1,19,,
373LA_24_F081_F,373,1986,10/11/1986,F,,F081,24,2,2,1355,507,452,2,12,,
373LA_23_F081_F,373,1986,10/11/1986,F,,F081,23,2,1,1380,521,473,1,10,,
373LA_22_F081_F,373,1986,10/9/1986,F,,F081,22,2,22,1434,530,483,1,,,
373LA_21_F081_F,373,1986,10/9/1986,F,,F081,21,2,21,1453,548,496,2,18,,
373LA_20_F081_F,373,1986,10/9/1986,F,,F081,20,2,20,1202,464,420,2,12,,
373LA_2_F081_F,373,1986,10/9/1986,F,,F081,2,2,2,1580,550,498,1,13,,
373LA_16_F081_F,373,1986,10/9/1986,F,,F081,16,2,16,1718,537,481,2,15,,
373LA_45_F081_F,373,1986,10/14/1986,F,,F081,45,2,3,1725,568,518,1,17,,
373LA_9_F081_F,373,1986,10/9/1986,F,,F081,9,2,9,1391,523,474,1,17,,
373LA_8_F081_F,373,1986,10/9/1986,F,,F081,8,2,8,1852,558,505,1,24,,
373LA_7_F081_F,373,1986,10/9/1986,F,,F081,7,2,7,1934,571,522,1,19,,
373LA_6_F081_F,373,1986,10/9/1986,F,,F081,6,2,6,1603,559,507,1,18,,
373LA_52_F081_F,373,1986,10/14/1986,F,,F081,52,2,10,1987,557,510,2,17,,
373LA_51_F081_F,373,1986,10/14/1986,F,,F081,51,2,9,1845,565,512,2,12,,
373LA_50_F081_F,373,1986,10/14/1986,F,,F081,50,2,8,1835,556,504,2,18,,
373LA_5_F081_F,373,1986,10/9/1986,F,,F081,5,2,5,1332,518,467,2,14,,
373LA_49_F081_F,373,1986,10/14/1986,F,,F081,49,2,7,1715,550,503,2,13,,
373LA_48_F081_F,373,1986,10/14/1986,F,,F081,48,2,6,1785,538,488,2,11,,
373LA_44_F081_F,373,1986,10/14/1986,F,,F081,44,2,2,742,427,384,,5,,
373LA_46_F081_F,373,1986,10/14/1986,F,,F081,46,2,4,1655,553,503,2,9,,
373LA_33_F081_F,373,1986,10/11/1986,F,,F081,33,2,11,1522,550,500,2,9,,
373LA_43_F081_F,373,1986,10/14/1986,F,,F081,43,2,1,775,448,405,,7,Y,+
373LA_42_F081_F,373,1986,10/11/1986,F,,F081,42,2,20,358,320,288,,3,Y,+
373LA_41_F081_F,373,1986,10/11/1986,F,,F081,41,2,19,199,277,251,,2,Y,+;excellent section
373LA_40_F081_F,373,1986,10/11/1986,F,,F081,40,2,18,1455,535,483,1,10,,
373LA_4_F081_F,373,1986,10/9/1986,F,,F081,4,2,4,1412,522,475,1,16,,
373LA_39_F081_F,373,1986,10/11/1986,F,,F081,39,2,17,1755,557,508,1,19,,
373LA_38_F081_F,373,1986,10/11/1986,F,,F081,38,2,16,1785,550,501,2,14,,
373LA_37_F081_F,373,1986,10/11/1986,F,,F081,37,2,15,488,391,350,,6,,
373LA_36_F081_F,373,1986,10/11/1986,F,,F081,36,2,14,1485,525,477,2,16,,
373LA_35_F081_F,373,1986,10/11/1986,F,,F081,35,2,13,705,421,378,,7,,
373LA_32_F081_F,373,1986,10/11/1986,F,,F081,32,2,10,1565,540,489,2,15,,+
373LA_47_F081_F,373,1986,10/14/1986,F,,F081,47,2,5,1520,510,462,2,12,,
373LA_11_F081_F,373,1986,10/9/1986,F,,F081,11,2,11,1812,555,503,1,16,,
373LA_14_F081_F,373,1986,10/9/1986,F,,F081,14,2,14,805,457,409,1,10,,
373LA_12_F081_F,373,1986,10/9/1986,F,,F081,12,2,12,1490,526,480,1,13,,
373LA_13_F081_F,373,1986,10/9/1986,F,,F081,13,2,13,1205,522,471,1,7,,
373LA_1_F081_F,373,1986,10/9/1986,F,,F081,1,2,1,582,388,350,1,5,Y,+
373LA_10_F081_F,373,1986,10/9/1986,F,,F081,10,2,10,1991,588,536,1,26,,
373LA_66_F081_F,373,1987,10/11/1987,F,,F081,66,2,20,1092,485,434,1,12,,
373LA_67_F081_F,373,1987,10/11/1987,F,,F081,67,2,21,1892,571,517,2,16,,
373LA_68_F081_F,373,1987,10/11/1987,F,,F081,68,2,22,1743,558,510,1,16,,"excellent , picture quality"
373LA_69_F081_F,373,1987,10/15/1987,F,,F081,69,2,1,760,457,409,,5,,
373LA_65_F081_F,373,1987,10/11/1987,F,,F081,65,2,19,1010,486,436,,9,,
373LA_70_F081_F,373,1987,10/15/1987,F,,F081,70,2,2,1275,494,446,1,9,,
373LA_62_F081_F,373,1987,10/11/1987,F,,F081,62,2,16,758,452,406,1,8,,
373LA_71_F081_F,373,1987,10/15/1987,F,,F081,71,2,3,1055,550,507,1,24,,
373LA_72_F081_F,373,1987,10/15/1987,F,,F081,72,2,5,970,477,433,1,8,,
373LA_73_F081_F,373,1987,10/15/1987,F,,F081,73,2,6,1445,534,478,1,18,,
373LA_74_F081_F,373,1987,10/15/1987,F,,F081,74,2,7,1793,546,493,1,27,,excellent sections
373LA_75_F081_F,373,1987,10/15/1987,F,,F081,75,2,8,1365,527,474,2,11,,
373LA_76_F081_F,373,1987,10/15/1987,F,,F081,76,2,11,910,477,435,1,7,,
373LA_7_F081_R,373,1987,10/15/1987,R,,F081,7,2,4,1710,557,503,1,17,,#11 OT#11;age inferred
373LA_10_F081_R,373,1987,10/15/1987,R,,F081,10,2,12,1053,517,460,2,10,,#29;age inferred
373LA_5_F081_R,373,1987,10/11/1987,R,,F081,5,2,12,1910,565,514,1,20,,#34;age inferred
373LA_53_F081_F,373,1987,10/11/1987,F,,F081,53,2,1,700,450,405,1,6,,
373LA_54_F081_F,373,1987,10/11/1987,F,,F081,54,2,3,920,468,427,,8,,
373LA_55_F081_F,373,1987,10/11/1987,F,,F081,55,2,5,738,453,408,,10,,
373LA_56_F081_F,373,1987,10/11/1987,F,,F081,56,2,6,943,461,420,1,8,,
373LA_14_F081_R,373,1987,10/15/1987,R,,F081,14,2,21,1685,555,503,1,25,,#8;age inferred
373LA_57_F081_F,373,1987,10/11/1987,F,,F081,57,2,7,792,458,421,,8,,
373LA_64_F081_F,373,1987,10/11/1987,F,,F081,64,2,18,910,473,424,,8,,
373LA_59_F081_F,373,1987,10/11/1987,F,,F081,59,2,10,1065,487,437,1,9,,
373LA_12_F081_R,373,1987,10/15/1987,R,,F081,12,2,18,1100,467,422,2,13,,#20;age inferred
373LA_11_F081_R,373,1987,10/15/1987,R,,F081,11,2,16,1083,518,465,2,15,,#5;age inferred
373LA_6_F081_R,373,1987,10/11/1987,R,,F081,6,2,15,1455,534,489,1,14,,#18;age inferred
373LA_60_F081_F,373,1987,10/11/1987,F,,F081,60,2,13,1645,553,498,1,16,,
373LA_4_F081_R,373,1987,10/11/1987,R,,F081,4,2,11,1575,541,493,2,12,,#48;age inferred
373LA_61_F081_F,373,1987,10/11/1987,F,,F081,61,2,14,771,443,405,,5,Y,+;fast growing
373LA_3_F081_R,373,1987,10/11/1987,R,,F081,3,2,9,1425,537,481,2,16,,#16;age inferred
373LA_63_F081_F,373,1987,10/11/1987,F,,F081,63,2,17,726,437,394,,7,,
373LA_58_F081_F,373,1987,10/11/1987,F,,F081,58,2,8,989,484,437,1,6,,
373LA_22_F081_R,373,1987,10/15/1987,R,,F081,22,2,34,1320,524,480,1,16,,#15;age inferred
373LA_15_F081_R,373,1987,10/15/1987,R,,F081,15,2,24,1425,555,507,2,10,,#33;age inferred
373LA_16_F081_R,373,1987,10/15/1987,R,,F081,16,2,25,1820,577,523,2,20,,#31;age inferred
373LA_17_F081_R,373,1987,10/15/1987,R,,F081,17,2,26,1393,535,484,,11,,#40;age inferred
373LA_18_F081_R,373,1987,10/15/1987,R,,F081,18,2,29,1175,523,473,,8,,#13;age inferred
373LA_19_F081_R,373,1987,10/15/1987,R,,F081,19,2,30,1875,563,512,,20,,#34;age inferred
373LA_2_F081_R,373,1987,10/11/1987,R,,F081,2,2,4,1343,513,478,,,,
373LA_20_F081_R,373,1987,10/15/1987,R,,F081,20,2,31,1865,570,521,,20,,#7;age inferred
373LA_77_F081_F,373,1987,10/15/1987,F,,F081,77,2,13,774,453,405,1,10,,
373LA_21_F081_R,373,1987,10/15/1987,R,,F081,21,2,32,1553,551,500,,14,,#2;age inferred
373LA_23_F081_R,373,1987,10/15/1987,R,,F081,23,2,35,1360,523,475,1,23,,#28;age inferred
373LA_13_F081_R,373,1987,10/15/1987,R,,F081,13,2,19,1405,527,479,1,14,,#12;age inferred
373LA_9_F081_R,373,1987,10/15/1987,R,,F081,9,2,10,1672,557,508,1,20,,#39;age inferred
373LA_89_F081_F,373,1987,10/15/1987,F,,F081,89,1,38,1015,497,448,,8,,
373LA_82_F081_F,373,1987,10/15/1987,F,,F081,82,2,22,1255,533,482,1,9,,
373LA_1_F081_R,373,1987,10/11/1987,R,,F081,1,2,2,1445,527,480,1,14,,#12;age inferred
373LA_88_F081_F,373,1987,10/15/1987,F,,F081,88,1,37,1063,500,455,1,9,,
373LA_80_F081_F,373,1987,10/15/1987,F,,F081,80,2,17,1070,497,450,1,13,,
373LA_79_F081_F,373,1987,10/15/1987,F,,F081,79,2,15,873,474,426,1,13,,
373LA_81_F081_F,373,1987,10/15/1987,F,,F081,81,2,20,1560,532,481,2,17,,
373LA_8_F081_R,373,1987,10/15/1987,R,,F081,8,2,9,1635,571,520,1,18,,#45;age inferred
373LA_83_F081_F,373,1987,10/15/1987,F,,F081,83,2,23,1463,543,496,,5,,
373LA_78_F081_F,373,1987,10/15/1987,F,,F081,78,2,14,905,479,436,1,6,,
373LA_84_F081_F,373,1987,10/15/1987,F,,F081,84,2,27,732,443,399,1,9,,
373LA_85_F081_F,373,1987,10/15/1987,F,,F081,85,2,28,1542,537,488,1,17,,
373LA_86_F081_F,373,1987,10/15/1987,F,,F081,86,2,33,950,483,436,,8,,
373LA_87_F081_F,373,1987,10/15/1987,F,,F081,87,2,36,702,434,391,,7,,
373LA_102_F081_F,373,1988,10/5/1988,F,,F081,102,2,12,935,478,431,,17,,
373LA_101_F081_F,373,1988,10/5/1988,F,,F081,101,2,11,805,465,419,,10,,
373LA_100_F081_F,373,1988,10/5/1988,F,,F081,100,2,10,815,460,415,,8,,
373LA_98_F081_F,373,1988,10/5/1988,F,,F081,98,2,8,541,393,355,,5,,
373LA_103_F081_F,373,1988,10/5/1988,F,,F081,103,2,14,1390,568,518,,19,,
373LA_50_F081_R,373,1988,10/12/1988,R,,F081,50,2,24,1685,580,530,1,28,,#10;age inferred
373LA_97_F081_F,373,1988,10/5/1988,F,,F081,97,2,6,820,469,420,,9,,
373LA_96_F081_F,373,1988,10/5/1988,F,,F081,96,2,4,513,382,343,,4,,
373LA_91_F081_F,373,1988,10/3/1988,F,,F081,91,1,1,830,467,421,,6,,
373LA_94_F081_F,373,1988,10/5/1988,F,,F081,94,2,2,1050,495,445,,8,,
373LA_93_F081_F,373,1988,10/5/1988,F,,F081,93,2,1,612,415,375,,5,,
373LA_92_F081_F,373,1988,10/3/1988,F,,F081,92,1,2,1105,497,454,,13,,
373LA_44_F081_R,373,1988,10/12/1988,R,,F081,44,2,10,975,489,441,,9,,#86;age inferred
373LA_90_F081_F,373,1988,9/30/1988,F,,F081,90,1,1,733,446,401,,11,,
373LA_95_F081_F,373,1988,10/5/1988,F,,F081,95,2,3,777,458,406,,9,,
373LA_126_F081_F,373,1988,10/12/1988,F,,F081,126,2,9,825,453,407,1,11,,
373LA_119_F081_F,373,1988,10/8/1988,F,,F081,119,2,27,925,464,417,,12,Y,+
373LA_31_F081_R,373,1988,10/8/1988,R,,F081,31,2,6,940,484,438,1,9,,#72;age inferred
373LA_30_F081_R,373,1988,10/8/1988,R,,F081,30,2,5,1585,552,511,1,25,,#71;age inferred
373LA_120_F081_F,373,1988,10/12/1988,F,,F081,120,2,1,1172,485,439,2,13,,
373LA_29_F081_R,373,1988,10/8/1988,R,,F081,29,2,3,1360,536,488,1,12,,#40;age inferred
373LA_121_F081_F,373,1988,10/12/1988,F,,F081,121,2,2,790,457,409,1,8,,
