FISH_KEY,DATE_CATCH,Sesn,Year,LOCATION_ID,ACCESS_CODE,WEIGHT,TOTAL_LENGTH,FORK_LENGTH,SEX,Age,MAT_CODE
468LA_1_F081_F,12-May-73,aSP,1973,468,F081,1950,,530,2,6,2
468LA_10_F081_F,16-May-73,aSP,1973,468,F081,441,,346,1,9,1
468LA_100_F081_F,03-Oct-81,Fa,1981,468,F081,734,680,430,1,11,2
468LA_1000_F081_F,22-Oct-03,Fa,2003,468,F081,404,374,333,9,,1
468LA_1001_F081_F,22-Oct-03,Fa,2003,468,F081,664,435,387,2,,2
468LA_1002_F081_F,22-Oct-03,Fa,2003,468,F081,836,486,436,2,,2
468LA_1003_F081_F,22-Oct-03,Fa,2003,468,F081,209,315,280,,,
468LA_1004_F081_F,22-Oct-03,Fa,2003,468,F081,884,475,427,2,,2
468LA_1005_F081_F,22-Oct-03,Fa,2003,468,F081,863,477,430,2,,2
468LA_1006_F081_F,22-Oct-03,Fa,2003,468,F081,1210,535,485,2,,2
468LA_1007_F081_F,22-Oct-03,Fa,2003,468,F081,413,378,340,2,,2
468LA_1008_F081_F,22-Oct-03,Fa,2003,468,F081,1217,547,487,2,,2
468LA_1009_F081_F,22-Oct-03,Fa,2003,468,F081,588,426,380,2,,2
468LA_101_F081_F,03-Oct-81,Fa,1981,468,F081,705,467,421,1,12,2
468LA_1010_F081_F,22-Oct-03,Fa,2003,468,F081,471,403,364,2,,2
468LA_1011_F081_F,22-Oct-03,Fa,2003,468,F081,219,305,273,,,
468LA_1012_F081_F,22-Oct-03,Fa,2003,468,F081,1089,513,463,1,,2
468LA_1013_F081_F,22-Oct-03,Fa,2003,468,F081,1119,490,440,2,,2
468LA_1014_F081_F,22-Oct-03,Fa,2003,468,F081,466,395,351,,,
468LA_1015_F081_F,22-Oct-03,Fa,2003,468,F081,710,451,406,2,,2
468LA_1016_F081_F,22-Oct-03,Fa,2003,468,F081,488,398,356,9,,1
468LA_1017_F081_F,22-Oct-03,Fa,2003,468,F081,499,396,354,9,,1
468LA_1018_F081_F,22-Oct-03,Fa,2003,468,F081,556,412,369,2,,2
468LA_1019_F081_F,22-Oct-03,Fa,2003,468,F081,874,466,422,1,,2
468LA_102_F081_F,03-Oct-81,Fa,1981,468,F081,457,388,350,1,6,2
468LA_1020_F081_F,22-Oct-03,Fa,2003,468,F081,962,479,430,2,,2
